state	from	to	time
40000	Australia	Europe	0.7575653239993756
40000	Australia	Europe	0.2487461599875058
40000	Australia	Europe	0.658577262046854
40000	Australia	Europe	0.6876012698660521
40000	Europe	Australia	0.6420325328367565
40000	Europe	Australia	0.27935693704222947
40000	Australia	Europe	0.2499805578863803
40000	Australia	Europe	0.4289529499544044
40000	Australia	Europe	0.42473767619656444
40000	Australia	Asia	0.30008034052843024
40000	Australia	Europe	0.5191725126510315
50000	Australia	Europe	1.1192516443498208
50000	Australia	NorthAmerica	0.18720872176987544
50000	Australia	Europe	0.4576405966740199
50000	Australia	NorthAmerica	0.21610149838539483
50000	Australia	Europe	0.28272531286790564
50000	Australia	NorthAmerica	0.26511779681691905
50000	Australia	Asia	0.18137314678298455
50000	Australia	Europe	0.4971923724329249
50000	Australia	Europe	0.18665326087893913
50000	Australia	Europe	0.2407267254523258
50000	Australia	NorthAmerica	0.1966701219378834
50000	Australia	NorthAmerica	0.2544779637296707
50000	Australia	NorthAmerica	0.5168970220244334
50000	NorthAmerica	Europe	0.42759650040174557
50000	Australia	NorthAmerica	0.18411532897780875
50000	Australia	NorthAmerica	0.19674327332504388
50000	Europe	Australia	0.26848868697397443
50000	Australia	Europe	0.25388984566715883
50000	Australia	Europe	0.2243427790867736
50000	Australia	Asia	0.1159767007262851
50000	Australia	Europe	0.10919471219704943
50000	Australia	Europe	0.21510779455126577
50000	Australia	NorthAmerica	0.1651987365698094
50000	Europe	Australia	0.12401585857037672
50000	Australia	Europe	0.10766469334726259
50000	Australia	NorthAmerica	0.19862278031077987
50000	Europe	Australia	0.18618170188156408
50000	Australia	Europe	0.26084136590674195
50000	Australia	Asia	0.6262786127641526
50000	Europe	Australia	0.21219586890459785
50000	Australia	NorthAmerica	0.15684944963762876
